"genusSpecies","genus","family","order","margin.score","lma_g_m2","petiole_width","petiole_area","blade_area","blade_perimeter","feret","minimum_feret","raw_blade_area","raw_blade_perimeter","internal_raw_blade_area","internal_raw_blade_perimeter","length_of_cut_perimeter","no_of_primary_teeth","no_of_subsidiary_teeth","mat_c","map_mm","latitude_n","longitude_e","leaf_area","feret_diameter","feret.diam.ratio","raw_blade_perimeter_corrected","internal_raw_blade_perimeter_corrected","total_tooth_count","teeth.interior.percm","perim.ratio","ln.leaf.area.mm2","ln_pr","ln_tc_ip","pw2.a.ratio","aspect_ratio","shape_factor","compactness","tooth_area","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","teeth.blade.area.ratio","teeth.perimeter.percm","log10_lma","log10_pw2a_ratio"
"Myrsine_coriacea","Myrsine","Primulaceae","Ericales",1,125.45,0.1264527175,0.123333333333333,8.855,16.4816666666667,7.155,NA,NA,NA,NA,NA,NA,NA,NA,20.43611145,2072.66666666667,18.1647992566667,-66.7883913866667,8.97833333333333,3.37217757873661,0.472276891381349,NA,NA,NA,0,1,6.78968083113648,NA,NA,0.00180900927479052,NA,0.41104712262179,30.9362475046348,NA,0,0,0,0,0,0,2.09847066565063,-2.74255920650668
"Myrsine_emarginata","Myrsine","Primulaceae","Ericales",1,NA,0.2668869565,0.12,7.605,12.64,5.275,NA,NA,NA,NA,NA,NA,NA,NA,20.72083282,4667,21.3279,-157.755,7.725,3.12939931631106,0.595564174364529,NA,NA,NA,0,1,6.64092475631361,NA,NA,0.0092949510096861,NA,0.598557865804671,21.0475954464739,NA,0,0,0,0,0,0,NA,-2.03175289489467
"Myrsine_floridana","Myrsine","Primulaceae","Ericales",1,85.8333333333333,0.189132576666667,0.156666666666667,32.7033333333333,25.95,10.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,23.32500076,1309,26.17,-81.34,32.86,6.43741399811484,0.586530121012413,NA,NA,NA,0,1,8.07772739850554,NA,NA,0.0011844786069451,NA,0.603628757108487,20.8341245958571,NA,0,0,0,0,0,0,1.93365597865755,-2.9264727787315
"Myrsine_lessertiana","Myrsine","Primulaceae","Ericales",1,NA,0.383210787,0.215,24.035,22.95,9.7,NA,NA,NA,NA,NA,NA,NA,NA,20.72083282,4667,21.3279,-157.755,24.25,5.55109858458951,0.573194248012047,NA,NA,NA,0,1,7.78960405785863,NA,NA,0.00556041299784776,NA,0.573331096501525,21.9334629353507,NA,0,0,0,0,0,0,NA,-2.25489295014005
"Myrsine_seguinii","Myrsine","Primulaceae","Ericales",1,100.2,0.145698029166667,0.2,31.0816666666667,33.2766666666667,14.5516666666667,NA,NA,NA,NA,NA,NA,NA,NA,17.28611056,3135,30.3231,130.6281,31.2816666666667,6.2982966927522,0.434238703118311,NA,NA,NA,0,1,8.03981974199471,NA,NA,0.000692487698174339,NA,0.355365450706105,36.1244466561083,NA,0,0,0,0,0,0,2.00086772153123,-3.15958793729955
"Myrtus_communis","Myrtus","Myrtaceae","Myrtales",1,102.9862538,0.0805,0.03,2.87065,7.52,3.38,NA,NA,NA,NA,NA,NA,NA,NA,16.12916756,784,36.416864,-5.581529,2.88565,1.90966531068295,0.516104100399556,NA,NA,NA,0,1,5.6499469944268,NA,NA,0.00191649661372845,NA,0.524428379814955,23.9620338983051,NA,0,0,0,0,0,0,2.0127792606546,-2.71749194376697
"Naucleopsis_krukovii","Naucleopsis","Moraceae","Rosales",1,53.45,0.1114987945,0.135,58.78,40.515,17.81,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,58.915,8.65482555896047,0.486606590499391,NA,NA,NA,0,1,8.67841160543897,NA,NA,0.000218915937281398,NA,0.450586581653859,27.9340690701818,NA,0,0,0,0,0,0,1.7279477095448,-3.65972262024378
"Nectandra_oppositifolia","Nectandra","Lauraceae","Laurales",1,97.5,0.531129594,1.59,440.27,92.34,37.73,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,441.86,23.7190561624336,0.628652429431052,NA,NA,NA,0,1,10.696163275811,NA,NA,0.000638434448971631,NA,0.648857333142111,19.3669239330411,NA,0,0,0,0,0,0,1.98900461569854,-3.19488368714191
"Nectandra_viburnoides","Nectandra","Lauraceae","Laurales",1,67.85,0.2072429425,0.45,103.425,44.545,18.64,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,103.875,11.3808029879681,0.614830647729989,NA,NA,NA,0,1,9.206118921378,NA,NA,0.000451803998755898,NA,0.648478169610494,19.443067620462,NA,0,0,0,0,0,0,1.83154985199576,-3.34504992961323
"Nectandra_yarinensis_cf.","Nectandra","Lauraceae","Laurales",1,61.55,0.2071942755,0.665,142.935,55.44,23.76,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,143.6,13.4601218855653,0.565679709350671,NA,NA,NA,0,1,9.55385090909114,NA,NA,0.000299915974054316,NA,0.578137955140327,21.7442848451409,NA,0,0,0,0,0,0,1.78922805726734,-3.52300040233354
"Neea_amplifolia","Neea","Nyctaginaceae","Caryophyllales",1,173.5,0.11972641,NA,3.8,9.75,4.2,NA,NA,NA,NA,NA,NA,NA,NA,26.39583397,2496,9.17,-79.85,3.8,2.19961593692936,0.523718080221276,NA,NA,NA,0,1,5.94017125272043,NA,NA,0.0037722140135495,NA,0.502324348029611,25.0164473684211,NA,0,0,0,0,0,0,2.23929947912689,-2.42340367588514
"Neea_aniboid","Neea","Nyctaginaceae","Caryophyllales",1,76.7,0.254897078,0.93,254.675,76.075,32.295,NA,NA,NA,NA,NA,NA,NA,NA,25.08749962,3338,-0.7,-76.3953,255.605,17.3460380814933,0.530974255922708,NA,NA,NA,0,1,9.9851786444294,NA,NA,0.000538877999277914,NA,0.504344140748677,24.9795162451034,NA,0,0,0,0,0,0,1.88479536394898,-3.26850954694256
"Neea_bajio","Neea","Nyctaginaceae","Caryophyllales",1,53.7,0.1730288495,0.31,57.95,32.785,13.235,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,58.26,8.59737451720867,0.649175429416699,NA,NA,NA,0,1,8.66294019032811,NA,NA,0.00052178499977182,NA,0.675452187715374,18.6057037927512,NA,0,0,0,0,0,0,1.72997428569956,-3.28250841011499
"Neea_buxifolia","Neea","Nyctaginaceae","Caryophyllales",1,48.15,0.056393526,0.01,0.99,4.57,1.89,NA,NA,NA,NA,NA,NA,NA,NA,23.96249962,1997,18.4095,-66.9706,1,1.12144651175884,0.591515762810226,NA,NA,NA,0,1,4.58036493571142,NA,NA,0.00323614504114796,NA,0.585767999548696,21.5525029515939,NA,0,0,0,0,0,0,1.68259629146055,-2.48997202193041
"Neea_claudia","Neea","Nyctaginaceae","Caryophyllales",1,43.75,0.0953654445,0.24,31.95,25.14,10.41,NA,NA,NA,NA,NA,NA,NA,NA,25.08749962,3338,-0.7,-76.3953,32.19,6.39818634595181,0.617156443675413,NA,NA,NA,0,1,8.07444223655707,NA,NA,0.000283419728523923,NA,0.638405849340038,19.7815220151096,NA,0,0,0,0,0,0,1.64097805735833,-3.54756992229299
