"Site","pw2.a.ratio","ln.leaf.area.mm2","feret.diam.ratio","margin.score","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","mat","map","latitude_n","longitude_e"
"Toro Negro",0.00161003357787246,7.2733627694572,0.625860437068149,0.761904761904762,1.08993565601885,2.86249896691658,3.11772288265421,0.00717311130569992,0.0164075304082471,0.0149909343503573,0.0169090008498764,3.87407821570858,18.68333435,196.1,18.1702,-66.5703
"West Head",0.00226148254773826,7.34414892104892,0.442308078557149,0.888888888888889,1.01160250613643,0.144532801618195,0.145773869047841,0.0179523809523809,0.00492582495939037,0.00402028652208417,0.00405535408066819,0.219784022867133,16.70416641,127.8,-33.6938,151.14305
"Wiliwili Nui Ridge trail",0.00471198442297066,7.45354052004167,0.691836834094234,0.75,1.0597887677954,1.62110936116306,1.77809405542819,0.0269048607247754,0.0153710791675525,0.0187666440501005,0.0199529190815581,1.65659005096478,20.72083282,466.7,21.3279,-157.755
"Wolf Creek, CO",0.00222965247558953,6.31991413253056,0.635878726657565,0.261904761904762,1.18527242153155,3.6586643719422,4.09025253712118,0.00711710482844437,0.0385292360823208,0.0168266046548002,0.0217666399744778,8.49153931764599,0.974999964,82.5,37.4797,-106.8607
"Yakasugi (1350m)",0.00121606953754811,7.31375147060749,0.591555958053526,0.294117647058823,1.25989363386615,2.37840710871634,2.9172521812516,0.0111191985495201,0.0292636459815795,0.0177087397170514,0.0239932618325626,4.4184554910031,12.07083321,341.3,30.2999,130.5399
"Yakusugi (1080m)",0.000908172251084887,7.22041893968667,0.565027430253034,0.288461538461539,1.22651343961249,2.1068565532384,2.67705845185776,0.010107504704081,0.0289802440887038,0.0154039547452415,0.0201456020206813,4.15828274008746,13.67083359,336.6,30.2999,130.5799
"Yakusugi (260m)",0.00056242679345675,7.65203205544811,0.540897187157939,0.461538461538462,1.08383446802311,1.64791472407682,1.79416164558187,0.0177265490684518,0.0219480863595269,0.0180677108018641,0.0205558386281118,2.63842356375918,17.95416641,306.4,30.31,130.63
"Yakusugi (800m)",0.000856193515399083,7.40656377174856,0.558425536009861,0.328125,1.20701651726419,1.85529952508453,2.23060361350685,0.0137345090453883,0.0213667623761728,0.0147765390180333,0.0187518343755199,3.31554188974643,14.71249962,327.3,30.3101,130.5899
"Yasuni-ridgetop",0.000454541825571472,9.1413574408904,0.554391848625402,0.774193548387097,1.02648130324689,1.2643432190252,1.30371393394665,0.0252084364988528,0.00807456510464134,0.0231211052808043,0.0239661037639276,0.546812561845645,25.09583282,333.4,-0.6859,-76.3953
"Yasuni-upper slope",0.000344816186570341,8.79012388897886,0.560410694592296,0.88659793814433,1.01698232214928,0.747265823444357,0.76276708481866,0.0474195194906429,0.0161118937591935,0.0262868635958398,0.0268348399348828,0.506756693988265,25.09583282,333.4,-0.6859,-76.3953
"Yasuni-valley bottom",0.000355306202881521,9.05343488123812,0.572376753790701,0.87037037037037,1.0251052612349,0.896402186640822,0.916201625542229,0.0868922966784561,0.0167626858865947,0.037425424305058,0.0386302290652129,0.731061974648573,25.08749962,333.8,-0.7,-76.3953
"York, PA",0.00102609105820902,7.83402133695732,0.642131199566076,0.218181818181818,1.17552024322527,1.94346738024052,2.30055261515873,0.0669154873386009,0.0418336105137458,0.0402694231664595,0.0496633425906472,2.92451280185815,11.59166718,107.5,39.92,-76.75
