specimen_number,photo,leaf,site,morphotype,order,family,genus,species,Measurer.comments,margin,petiole_width,petiole_area,blade_area,blade_perimeter,feret,minimum_feret,raw_blade_area,raw_blade_perimeter,internal_raw_blade_area,internal_raw_blade_perimeter,length_of_cut_perimeter,no_of_primary_teeth,no_of_subsidiary_teeth,lma_g_m2,latitude_N,longitude_E,MAT_C,MAP_mm,diurnal.range_C,isothermality,temp.seasonality,max.temp.warmest.month_C,min.temp.coldest.month_C,MART_C,MART.quarter_C,temp.wet.quarter_C,temp.dry.quarter_C,temp.warm.quarter_C,temp.cold.quarter_C,precip.wet.month_mm,precip.dry.month_mm,precip.seasonality_mm,precip.wet.quarter_mm,precip.dry.quarter_mm,precip.season.month_mm,precip.season.quarter_mm,precip.warm.quarter_mm,precip.cold.quarter_mm
4183,4800,A,Alamos,Ceiba sp.,Malvales,Malvaceae,Ceiba,,NA,0,0.084364975,0.06,22.87,26.88,10,NA,22.87,26.88,22.52,24.05,0,53,NA,82.4,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4184,4800,B,Alamos,Ceiba sp.,Malvales,Malvaceae,Ceiba,,NA,0,0.096052285,0.07,23.8,28.3,10.18,NA,23.8,28.3,23.44,24.2,0,54,NA,87.6,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4200,4822,D,Alamos,Cordia sp.,Boraginales,Cordiaceae,Cordia,,NA,1,0.085817153,0.16,13.04,15.98,5.4,NA,NA,NA,NA,NA,NA,NA,NA,54.6,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4197,4801,A,Alamos,Cordia sp.,Boraginales,Cordiaceae,Cordia,,NA,1,0.072358086,0.06,13.07,18.63,5.98,NA,NA,NA,NA,NA,NA,NA,NA,61.7,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4199,4822,C,Alamos,Cordia sp.,Boraginales,Cordiaceae,Cordia,,NA,1,0.083011355,0.2,17.72,18.41,6.58,NA,NA,NA,NA,NA,NA,NA,NA,58,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4198,4801,B,Alamos,Cordia sp.,Boraginales,Cordiaceae,Cordia,,NA,1,0.095170982,0.13,19.12,24.81,7.26,NA,NA,NA,NA,NA,NA,NA,NA,81,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4189,4806,A,Alamos,Gouania sp.,Rosales,Rhamnaceae,Gouania,,NA,0,0.054496095,0.09,11,19.64,6.87,NA,11,19.64,10.6,18.25,0,5,NA,57.7,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4190,4806,B,Alamos,Gouania sp.,Rosales,Rhamnaceae,Gouania,,NA,0,0.062603766,0.04,15.9,20.84,7.02,NA,15.9,20.84,15.01,17.93,0,13,NA,37,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4186,4810,B,Alamos,Heliocarpus sp.,Malvales,Malvaceae,Heliocarpus,,NA,0,NA,0.12,9.97,13.83,5.18,NA,9.97,13.83,9.47,13.13,0,54,NA,84.2,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4185,4810,A,Alamos,Heliocarpus sp.,Malvales,Malvaceae,Heliocarpus,,NA,0,0.134449589,0.23,40.67,28.73,9.55,NA,40.67,28.73,39.51,25.74,0,78,NA,45.2,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4191,4824,A,Alamos,Karwinskia sp.,Rosales,Rhamnaceae,Karwinskia,,NA,1,0.026700969,0.01,2.24,8.21,2.75,NA,NA,NA,NA,NA,NA,NA,NA,62.2,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4192,4824,B,Alamos,Karwinskia sp.,Rosales,Rhamnaceae,Karwinskia,,NA,1,0.02720616,0.02,3.46,9.73,3.37,NA,NA,NA,NA,NA,NA,NA,NA,69,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
